Ae-jung
Ah-seong
Areum
Bit-na
Bo-reum
Bo-young
Bora
Chae-won
Chae-young
Chun-hwa
Chun-ja
Da-hee
Da-hye
Da-rae
Da-som
Do-hee
Eun-ah
Eun-bi
Eun-byul
Eun-chae
Eun-ha
Eun-hee
Eun-hye
Eun-ji
Eun-jin
Eun-ju
Eun-jung
Eun-kyung
Eun-mi
Eun-sook
Eun-young
Eunseo
Ga-in
Ga-yoon
Ga-young
Go-eun
Gyuri
Ha-eun
Han-na
Hana
Hwa-young
Hye-bin
Hye-in
Hye-ja
Hye-jin
Hye-jung
Hye-kyung
Hye-mi
Hye-rim
Hye-rin
Hye-su
Hye-won
Hye-young
Hyo-joo
Hyo-rin
Hyun-a
Hyun-mi
Hyun-sook
In-hye
In-sook
Jang-mi
Jeong-ja
Ji-ae
Ji-eun
Ji-hye
Ji-yeon
Ji-young
Jin-joo
Jina
Jung-ah
Jung-sook
Jung-soon
Kyung-ah
Kyung-hwa
Kyung-ja
Kyung-ok
Kyung-sook
Mi-hee
Mi-ja
Mi-jung
Mi-kyung
Mi-rae
Mi-ran
Mi-sook
Mi-yeon
Mi-young
Min-ji
Min-jung
Min-seo
Mina
Myung-hwa
Myung-ok
Myung-sook
Myung-soon
Na-rae
Na-young
Namjoo
Nari
Sa-rang
Sang-mi
Seo-yeon
Seol-hee
Seon-ok
Seong-ja
Seung-ah
Shin-hye
Si-eun
Si-yeon
So-hee
So-hyun
So-won
So-yeon
So-yi
So-young
Soo-ah
Soo-jung
Sook-ja
Soon Yi
Soon-hee
Soon-ja
Sora
Su-mi
Sun-hwa
Sun-mi
Sun-ok
Sung-mi
Sung-sook
Ye-eun
Ye-ji
Ye-jin
Ye-rin
Ye-seo
Ye-won
Yebin
Yeo-jin
Yeong-ok
Yihwa
Yoo-kyung
Yoon-sook
Young-ae
Young-ja
Young-mi
Young-sook
Yu-ri
Yumi
