Ah Cy
Ah Kum
Ah-lam
Ah Lam
Ai
Alix
An
Annchi
Bai
Bao
Baozhai
Bi
Bik
Bingqing
Biyu
Bo
Caihong
Chang
Changchang
Chang-chang
Changying
Chan juan
Chan-juan
Chao-xing
Chen
Cheng
Chenguang
Chen the
Chin
Chow
Chu
Chu-hua
Chu Hua
Chun
Chunhua
Chuntao
Chyou
Cong
Cuifen
Da Chun
Da-chung
Dai-tai
Daiyu
Dandan
Da xia
Da-Xia
Diu
Dongmei
Dong-mei
Ehuang
Eu-fùnh
Eu-meh
Fa
Fan
Fang
Fangsu
Far
Fen
Fenfang
Fen-Fang
Feng
Fu
Fung
Genji
Gho
Guang
Guan-yin
Hai
Han
Hee
Heng
Hien
Holea
Honf
Hong
Hop
Howin
Hu
Hua
Hualing
Huan
Huian
Huifang
Huifen
Huilang
Huiliang
Huiqing
Hui ying
Hui-ying
Huizhong
Hwei-ru
Jia
Jiabeautiful
Jiahui
Jia li
Jia Li
Jiang
Jiao
Jiayi
Jiaying
Jie
Jilpa
Jin
Jing
Jingfei
Jinghua
Ju
Juan
Jun
Kuai hua
Kwong
Lai
Lan
Lanfen
Lanying
Le
Lee
Lei
Li
Lian
Liang
Lien
Liena
Lifen
Lihua
Li hua
Lì húa
Li jing
Lijuan
Liling
Lim
Li mei
Li-mei
LiMei
Li ming
LiMing
Lin
Li na
Ling
Linqin
Liqin
Li qin
Liqiu
Li rong
Liu
Li wei
Lixue
Loi
Luan
Luli
Mayleen
Méh-è
Méh-fùnh
Mei
Meifeng
Meifen plum
Meihui
Meili
Mei lien
Mei Lien
Meilin
Meiling
Meirong
Meixiang
Mei Xiang
Mei xing
Mei Xing
Meixiu
Mei-yin
Meiying
Meizhen
Mei zhen
Mei Zhen
Mey
Min
Ming
Ming-huá
Mingmei
Mingxia
Mingyu
Ming Yue
Mingzhu
Mu
Mu lan
Mu tan
Na
Ngo-Kwang
Ning
Ninghong
Niu
Nuan
Nuo
Nuwa
Nuying
O-Huang
Pangfua
Peijing
Peizhi
Ping
Qi
Qiang
Qiànrú
Qiao
Qiaohui
Qiaolian
Qing
Qingge
Qingling
Qingyuan
Qingzhao
Qinyang
Qiu
Qiuyue
Renxiang
Rong
Rou
Ru
Rùfen
Ruiling
Ruolan
Ruomei
Shan
Shaoqing
Sheu-fùh
Shi
Shihong
Shu
Shuang
Shuchun
Shu fang
Shui
Shun
Song
Susu
Suyin
Syà
Sying
Tai
Tao
Tè
Teegan
Ting
Tu
Tung-mei
Tung-Mei
Ushi
Wan
Wang  fang
Wang li
Wei
Weici
Wen
Wenling
Wenquian
Xia
Xiang
Xiao chen
Xiaodan
Xiaofan
Xiao hon
Xiaohui
Xiaojian
Xiaojing
Xiaoli
Xiaolian
Xiaoling
Xiaoqing
Xiaosheng
Xiaotong
Xiaozhi
Xifeng
Xingjuan
Xin qian
Xiu
Xiulan
Xiu Mei
Xiurang
Xiurong
Xiuying
Xue
Xueman
Ya
Yan
Yáng
Yanlin
Yanmei
Yanyu
Yenay
Yet Kwai
Yi
Yi jie
Yi min
Yin
Yín
Ying
Yingtai
Yi ze
Yong
Yow
Yu
Yuan
Yuanjun
Yubi
Yue
Yuèhai
Yuèqín
Yue wan
Yue ying
Yue you
Yu-jun
Yuke
Yuming
Yun
Yunru
Yusheng
Yüying
Zan
Zhaohui
Zhen
Zheng
Zhenzhen
Zhen-zhen
Zhi
Zhilan
Zhong
Zhu
Zi
Zongying
